ID,City,District,Neighborhood,Condition,Type,Rooms,Area_m2,Lift,Views,Floor_number,Price,Latitude,Longitude
0,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,351,Yes,Exterior,Floor 1,2300000,41.3948,2.1693
1,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,5,298,Yes,Exterior,Floor 3,1750000,41.3913,2.1397
2,Barcelona,Eixample,Sant Antoni,Good Condition,Penthouse,2,90,Yes,Exterior,Floor 7,590000,41.3788,2.1629
3,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,2,130,Yes,Exterior,Floor 1,450000,41.3948,2.1693
4,Barcelona,Horta-Guinardó,Can Baró,Good Condition,Terraced,3,110,No,Exterior,Multiple,430000,41.41609,2.1624
5,Barcelona,Eixample,El Fort Pienc,Good Condition,Penthouse,5,161,Yes,Exterior,Floor 7,690000,41.3985,2.1802
6,Barcelona,Eixample,La Sagrada Família,Good Condition,Duplex,2,110,No,Exterior,Floor 1,395000,41.4037,2.1735
7,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,106,Yes,Exterior,Floor 1,595000,41.3835,2.1487
8,Barcelona,Les Corts,Pedralbes,Good Condition,Flat,2,62,Yes,Exterior,Floor 5,450000,41.3903,2.1078
9,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina I La Ribera,Good Condition,Flat,5,152,Yes,Exterior,Floor 5,665000,41.3845,2.1815
10,Barcelona,Horta-Guinardó,El Guinardó,Good Condition,Flat,3,83,Yes,Exterior,Floor 2,270000,41.4195,2.1686
11,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,80,Yes,Exterior,Floor 1,690000,41.386,2.157
12,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,80,Yes,Exterior,Floor 3,630000,41.386,2.157
13,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,132,Yes,Exterior,Floor 1,790000,41.3913,2.1397
14,Barcelona,Sant Martí,El Poblenou,Good Condition,Flat,1,41,No,Exterior,Floor 1,177000,41.4036,2.1996
15,Barcelona,Les Corts,Les Corts,Good Condition,Flat,2,80,Yes,Exterior,Floor 1,375000,41.384,2.134
16,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,Good Condition,Flat,5,170,Yes,Exterior,Floor 3,950000,41.3978,2.1353
17,Barcelona,Les Corts,Pedralbes,Good Condition,Flat,3,110,Yes,Exterior,Floor 8,800000,41.3903,2.1078
18,Barcelona,Sants-Montjuïc,El Poble Sec - Aei Parc De Montjuïc,Good Condition,Flat,3,65,No,Exterior,Floor 1,169000,41.3747,2.1603
