ID,City,District,Neighborhood,Condition,Type,Rooms,Area_m2,Lift,Views,Floor_number,Price
0,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,351,Yes,Exterior,Floor 1,2300000
1,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,5,298,Yes,Exterior,Floor 3,1750000
2,Barcelona,Eixample,Sant Antoni,Good Condition,Penthouse,2,90,Yes,Exterior,Floor 7,590000
3,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,2,130,Yes,Exterior,Floor 1,450000
4,Barcelona,Horta-Guinardó,Can Baró,Good Condition,Terraced,3,110,No,Exterior,Multiple,430000
5,Barcelona,Eixample,El Fort Pienc,Good Condition,Penthouse,5,161,Yes,Exterior,Floor 7,690000
6,Barcelona,Eixample,La Sagrada Família,Good Condition,Duplex,2,110,No,Exterior,Floor 1,395000
7,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,106,Yes,Exterior,Floor 1,595000
8,Barcelona,Les Corts,Pedralbes,Good Condition,Flat,2,62,Yes,Exterior,Floor 5,450000
9,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina I La Ribera,Good Condition,Flat,5,152,Yes,Exterior,Floor 5,665000
10,Barcelona,Horta-Guinardó,El Guinardó,Good Condition,Flat,3,83,Yes,Exterior,Floor 2,270000
11,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,80,Yes,Exterior,Floor 1,690000
12,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,80,Yes,Exterior,Floor 3,630000
13,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,132,Yes,Exterior,Floor 1,790000
14,Barcelona,Sant Martí,El Poblenou,Good Condition,Flat,1,41,No,Exterior,Floor 1,177000
15,Barcelona,Les Corts,Les Corts,Good Condition,Flat,2,80,Yes,Exterior,Floor 1,375000
16,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,Good Condition,Flat,5,170,Yes,Exterior,Floor 3,950000
17,Barcelona,Les Corts,Pedralbes,Good Condition,Flat,3,110,Yes,Exterior,Floor 8,800000
18,Barcelona,Sants-Montjuïc,El Poble Sec - Aei Parc De Montjuïc,Good Condition,Flat,3,65,No,Exterior,Floor 1,169000
19,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Flat,3,194,Yes,Exterior,Floor 2,840000
20,Barcelona,Gràcia,La Vila De Gràcia,Good Condition,Flat,3,79,No,Exterior,Ground Floor,329000
21,Barcelona,Sant Martí,El Poblenou,Good Condition,Flat,3,168,Yes,Exterior,Floor 25,1090000
22,Barcelona,Sant Andreu,El Congrés I Els Indians,Good Condition,Flat,2,64,Yes,Exterior,Floor 1,185000
23,Barcelona,Sant Martí,La Vila Olímpica Del Poblenou,Good Condition,Flat,3,130,Yes,Exterior,Mezzanine,695000
24,Barcelona,Sant Martí,La Vila Olímpica Del Poblenou,Good Condition,Flat,3,111,Yes,Exterior,Floor 4,586000
25,Barcelona,Sant Martí,Sant Martí De Provençals,Good Condition,Flat,4,83,Yes,Exterior,Floor 3,239000
26,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Penthouse,3,120,Yes,Exterior,Floor 6,790000
27,Barcelona,Eixample,Sant Antoni,Good Condition,Flat,5,181,Yes,Exterior,Floor 2,995000
28,Barcelona,Eixample,La Sagrada Família,Good Condition,Flat,4,94,Yes,Exterior,Floor 1,420000
29,Barcelona,Sant Martí,El Poblenou,Good Condition,Flat,3,195,Yes,Exterior,Floor 3,640000
30,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Penthouse,2,108,Yes,Exterior,Floor 6,649000
31,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,169,Yes,Exterior,Floor 1,775000
32,Barcelona,Sant Martí,El Clot,Good Condition,Flat,4,93,Yes,Exterior,Floor 6,340000
33,Barcelona,Eixample,Sant Antoni,Good Condition,Flat,4,140,Yes,Exterior,Floor 5,495000
34,Barcelona,Sant Martí,El Camp De L'Arpa Del Clot,Good Condition,Flat,4,102,Yes,Exterior,Floor 3,345000
35,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Flat,3,174,Yes,Exterior,Floor 1,950000
36,Barcelona,Sants-Montjuïc,La Bordeta,Good Condition,Detached,4,239,No,Exterior,Multiple,690000
37,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Penthouse,3,153,Yes,Exterior,Floor 9,1495000
38,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Flat,3,144,Yes,Exterior,Floor 1,650000
39,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,4,124,Yes,Exterior,Floor 3,530000
40,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,115,Yes,Exterior,Floor 2,660000
41,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,131,Yes,Exterior,Floor 6,560000
42,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Duplex,2,100,Yes,Exterior,Floor 5,800000
43,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,115,Yes,Exterior,Floor 3,990000
44,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,5,277,Yes,Exterior,Floor 5,1900000
45,Barcelona,Gràcia,El Camp D'En Grassot I Gràcia Nova,Good Condition,Flat,3,104,Yes,Exterior,Floor 1,470000
46,Barcelona,Sant Martí,El Poblenou,Good Condition,Flat,2,71,Yes,Interior,Floor 2,370000
47,Barcelona,Sants-Montjuïc,El Poble Sec - Aei Parc De Montjuïc,Good Condition,Flat,4,228,Yes,Interior,Ground Floor,650000
48,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,160,Yes,Exterior,Floor 7,880000
49,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,House,5,380,No,Exterior,Multiple,1750000
50,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,Good Condition,Detached,6,585,No,Exterior,Multiple,2350000
51,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,7,271,Yes,Exterior,Floor 1,1800000
52,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,82,Yes,Exterior,Floor 3,380000
53,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,175,Yes,Exterior,Floor 4,1600000
54,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Flat,2,84,Yes,Exterior,Floor 3,475000
55,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,1,63,Yes,Exterior,Floor 1,335000
56,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Penthouse,4,189,Yes,Exterior,Floor 7,1175000
57,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,150,Yes,Exterior,Ground Floor,780000
58,Barcelona,Horta-Guinardó,El Carmel,Good Condition,Flat,3,50,Yes,Exterior,Mezzanine,135000
59,Barcelona,Les Corts,La Maternitat I Sant Ramon,Good Condition,Penthouse,3,130,Yes,Exterior,Floor 9,530000
60,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Duplex,3,223,Yes,Exterior,Floor 8,1995000
61,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Duplex,3,153,Yes,Exterior,Floor 8,1495000
